song_title,artist,release,track_uri,spotify_id,duration,explicit,popularity,is_popular,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
愛すべきものすべてに -YUTAKA OZAKI BEST,Yutaka Ozaki,1983,4w8BWDyfDxlNLWKQaiUhmd,4w8BWDyfDxlNLWKQaiUhmd,275866,FALSE,57,1,album,0.576,0.505,2,-7.282,1,0.0266,0.164,0,0.118,0.226,138.439,4
SENSE,Mr.Children,12/1/2010,2nq1Q2yL4jSekEfki6Ab2M,2nq1Q2yL4jSekEfki6Ab2M,336946,FALSE,56,1,album,0.394,0.492,3,-6.515,1,0.0295,0.527,0,0.307,0.197,135.61,4
ギラギラ,Ado,2/14/2021,7D7GCO3CtDT1WDcj2W5VDV,7D7GCO3CtDT1WDcj2W5VDV,276213,FALSE,59,0,single,0.651,0.861,2,-4.128,1,0.0568,0.052,0,0.0878,0.731,96.014,4
Unity,Mrs. GREEN APPLE,7/6/2022,7cyIT7tUt96WHYi8V45ksZ,7cyIT7tUt96WHYi8V45ksZ,250773,FALSE,57,1,single,0.647,0.906,0,-3.803,0,0.0374,0.0337,0,0.116,0.73,106.485,4
ダーリン,須田景凪,1/18/2023,3mkRGh8v7AOH31yQ38SVdt,3mkRGh8v7AOH31yQ38SVdt,148521,FALSE,61,0,single,0.827,0.466,1,-5.006,1,0.156,0.00709,0,0.0511,0.513,137.952,4
Shout Baby,Ryokuoushoku Shakai,2/8/2020,5K1m4aaPCxwnm9SKlWW1vh,5K1m4aaPCxwnm9SKlWW1vh,265986,FALSE,63,0,single,0.474,0.881,7,-1.846,1,0.0398,0.033,0,0.0513,0.587,180,4
Duty,Ayumi Hamasaki,9/27/2000,1cqpwSj2BFeKYKavle5FYL,1cqpwSj2BFeKYKavle5FYL,264000,FALSE,57,1,album,0.498,0.629,3,-4.756,1,0.0304,0.789,1.81E-06,0.0876,0.189,163.945,4
泣きたくなるほど嬉しい日々に,Creep Hyp,9/26/2018,0ELktpiH8U73B7lu249tMM,0ELktpiH8U73B7lu249tMM,216706,FALSE,57,1,album,0.63,0.807,1,-3.645,0,0.0311,0.0633,0,0.386,0.937,131.971,4
snow jam,Rin音,2/19/2020,1SbEt51pN80q1cphFOqIPL,1SbEt51pN80q1cphFOqIPL,184184,FALSE,57,1,single,0.593,0.603,1,-6.479,1,0.212,0.183,0,0.115,0.818,172.022,4
あの日、あの場所/眩光,WANIMA,4/14/2022,0Imzg052WsTbxUNDMnZhmp,0Imzg052WsTbxUNDMnZhmp,214245,FALSE,56,1,single,0.405,0.968,6,-2.425,1,0.0669,0.000918,6.25E-06,0.366,0.509,194.957,4
